idlista;Cliente;Legajo;Sku;descripcion sku;nro de pallet;Lotes de produccion;Fecha de produccion;cantidad;unnidad de medida;Fecha Creacion lista
1;ANGEL SANCHEZ GARCIA S.R.L;679;PD090075STCA;MOLDE PAN DULCE 250g - CALSA;252423;66338#5279187;14/08/2025;40000;Unidad;19/08/2025
1;ANGEL SANCHEZ GARCIA S.R.L;679;PD090075STFA;MOLDE PAN DULCE 250g 90X75mm;252416;25100223#25687441;13/08/2025;38154;Unidad;19/08/2025
